Kernel Name,Number of Calls,Average Duration (s),Total Bytes,Total FLOPs (SP),Total FLOPs (DP),Total FLOPs (HP),AI (SP),AI (DP),AI (HP),Achieved Performance (SP),Achieved Performance (DP),Achieved Performance (HP)
clubb_driver_prescribe_forcings_5763_1,1,0.000005,129,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
clubb_driver_read_surface_var_for_bc_6381_1,1,0.000011,3670269,120852,8973261,0,0.032927,2.444851,0.000000,0.010760,0.798901,0.000000
sfc_flux_compute_ubar_102_1,1,0.000006,1048705,0,1039866,0,0.000000,0.991571,0.000000,0.000000,0.161671,0.000000
arm_arm_sfclyr_98_1,1,0.000015,1574147,1960464,22011792,372240,1.245414,13.983318,0.236471,0.130350,1.463550,0.024750
sfc_flux_compute_momentum_flux_57_1,1,0.000008,2097281,250496,3388288,0,0.119438,1.615563,0.000000,0.030108,0.407246,0.000000
clubb_driver_run_clubb_2771_1,1,0.000443,613479611,0,34855920,0,0.000000,0.056817,0.000000,0.000000,0.078595,0.000000
clubb_driver_run_clubb_2789_1,1,0.000750,1038320976,0,43474098,0,0.000000,0.041870,0.000000,0.000000,0.057935,0.000000
advance_clubb_core_module_set_lscale_max_5704_1,1,0.000005,126,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_clubb_core_module_advance_clubb_core_1085_1,1,0.000008,2097280,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_clubb_core_module_advance_clubb_core_1170_1,1,0.000006,524416,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_zm2zt_gpu_2281_1,1,0.000199,272089553,0,25981200,0,0.000000,0.095488,0.000000,0.000000,0.130491,0.000000
grid_class_zt2zm_gpu_1650_1,1,0.000197,269963463,0,25620480,0,0.000000,0.094904,0.000000,0.000000,0.129763,0.000000
grid_class_zt2zm_gpu_1666_1,1,0.000008,2621820,0,193650,0,0.000000,0.073861,0.000000,0.000000,0.025642,0.000000
skx_module_skx_func_75_1,1,0.000005,524415,0,130355,0,0.000000,0.248572,0.000000,0.000000,0.023822,0.000000
skx_module_skx_func_84_1,1,0.000160,200171025,0,235589553,17451078,0.000000,1.176941,0.087181,0.000000,1.473319,0.109135
skx_module_skx_func_75_2,1,0.000005,524415,0,129717,0,0.000000,0.247356,0.000000,0.000000,0.023706,0.000000
skx_module_skx_func_84_2,1,0.000162,201858600,0,237240582,17304200,0.000000,1.175281,0.085724,0.000000,1.468073,0.107080
advance_clubb_core_module_advance_clubb_core_1278_1,1,0.000089,51580552,0,35023090,17416888,0.000000,0.678998,0.337664,0.000000,0.393836,0.195854
sigma_sqd_w_module_compute_sigma_sqd_w_108_1,1,0.000309,416244359,34808488,842432349,0,0.083625,2.023889,0.000000,0.112652,2.726389,0.000000
sigma_sqd_w_module_compute_sigma_sqd_w_120_1,1,0.000361,486436878,35250480,844836504,0,0.072467,1.736785,0.000000,0.097640,2.340112,0.000000
sigma_sqd_w_module_compute_sigma_sqd_w_134_1,1,0.000150,200691192,0,17565130,17565130,0.000000,0.087523,0.087523,0.000000,0.117364,0.117364
grid_class_zm2zt_gpu_2281_2,1,0.000199,271973890,0,25808040,0,0.000000,0.094892,0.000000,0.000000,0.129454,0.000000
grid_class_zt2zm_gpu_1650_2,1,0.000197,269687282,0,25558320,0,0.000000,0.094770,0.000000,0.000000,0.129933,0.000000
grid_class_zt2zm_gpu_1666_2,1,0.000008,2621820,0,191940,0,0.000000,0.073209,0.000000,0.000000,0.025416,0.000000
advance_clubb_core_module_advance_clubb_core_1339_1,1,0.000105,125525371,0,43545279,17373564,0.000000,0.346904,0.138407,0.000000,0.412986,0.164772
advance_clubb_core_module_advance_clubb_core_1350_1,1,0.000106,121305577,0,0,17527068,0.000000,0.000000,0.144487,0.000000,0.000000,0.165375
grid_class_zm2zt_gpu_2281_3,1,0.000199,272169568,0,25848480,0,0.000000,0.094972,0.000000,0.000000,0.130180,0.000000
grid_class_zm2zt_gpu_2281_4,1,0.000199,272052093,0,25882320,0,0.000000,0.095137,0.000000,0.000000,0.129910,0.000000
grid_class_zm2zt_gpu_2281_5,1,0.000199,271955507,0,25744440,0,0.000000,0.094664,0.000000,0.000000,0.129198,0.000000
grid_class_zm2zt_gpu_2281_6,1,0.000199,272208572,0,25769400,0,0.000000,0.094668,0.000000,0.000000,0.129323,0.000000
advance_clubb_core_module_advance_clubb_core_1373_1,1,0.000157,199032085,17217616,279289598,0,0.086507,1.403239,0.000000,0.110008,1.784461,0.000000
advance_clubb_core_module_advance_clubb_core_1382_1,1,0.000103,119495345,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_zt2zm_gpu_1650_3,1,0.000197,269837564,0,25545600,0,0.000000,0.094670,0.000000,0.000000,0.129699,0.000000
grid_class_zt2zm_gpu_1666_3,1,0.000008,2621820,0,193050,0,0.000000,0.073632,0.000000,0.000000,0.025563,0.000000
grid_class_zm2zt_gpu_2281_7,1,0.000199,271900157,0,26023920,0,0.000000,0.095711,0.000000,0.000000,0.130979,0.000000
calc_pressure_calculate_thvm_237_3,1,0.000299,413140989,17510796,201374154,0,0.042385,0.487422,0.000000,0.058544,0.673258,0.000000
advance_clubb_core_module_advance_clubb_core_1426_1,1,0.000200,273267726,0,26444877,17629918,0.000000,0.096773,0.064515,0.000000,0.132267,0.088178
grid_class_zm2zt_gpu_2281_8,1,0.000199,271880324,0,25817160,0,0.000000,0.094958,0.000000,0.000000,0.130043,0.000000
advance_clubb_core_module_advance_clubb_core_1438_1,1,0.000103,119483725,0,113473230,0,0.000000,0.949696,0.000000,0.000000,1.104341,0.000000
grid_class_gradzt_2d_2664_1,1,0.000150,198340204,0,17232480,0,0.000000,0.086883,0.000000,0.000000,0.114871,0.000000
grid_class_gradzt_2d_2678_1,1,0.000006,1048705,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_zt2zm_gpu_1650_4,1,0.000197,269693248,0,25608840,0,0.000000,0.094955,0.000000,0.000000,0.129936,0.000000
grid_class_zt2zm_gpu_1666_4,1,0.000007,2621698,0,181845,0,0.000000,0.069362,0.000000,0.000000,0.024600,0.000000
grid_class_gradzt_2d_2664_2,1,0.000149,198701333,0,17243820,0,0.000000,0.086783,0.000000,0.000000,0.116111,0.000000
grid_class_gradzt_2d_2678_2,1,0.000006,1048705,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
advance_helper_module_calc_brunt_vaisala_freq_sqd_492_1,1,0.000108,125933975,17570168,141017712,17570168,0.139519,1.119775,0.139519,0.162976,1.308045,0.162976
t_in_k_module_thlm2t_in_k_2d_140_1,1,0.000204,271482315,17462080,306022952,17462080,0.064321,1.127230,0.064321,0.085505,1.498467,0.085505
